"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-30","75","88",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-10-31","69","79",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-01","69",,"66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-02","68",,"62"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-03","70",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-04","70","76","66"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-05","70","75",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-06","70","76",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-07","72",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-08","72","78","70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-09","76",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-10","76","83","74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-11","76",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-12","76",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-13","77",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-14","78","84",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-15","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-16","80",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-17","79",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-18","73","90","71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-19","73",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-20","70","79","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-21","72",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-22","73",,"68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-23","73","79",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-24","76",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-25","77",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-26","81",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-27","81","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-28","81","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-29","82",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-11-30","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-01","83","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-02","78","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-03","82",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-04","85","96",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-05","79","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-06","74","82","73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-07","75",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-08","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-09","77",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-10","74","83","71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-11","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-12","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-13","78","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-14","83",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-15","84","96",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-16","82","91","77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-17","79","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-18","82",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-19","81","90","77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-20","84",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-21","85",,"79"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-22","80","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-23","73","84",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-24","71","76","69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-25","73",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-26","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-27","75","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-28","78",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-29","79",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-30","81",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-12-31","85",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-01","80","99","75"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-02","77","86",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-03","75","81",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-04","78",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-05","80",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-06","82",,"77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-07","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-08","85","92",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-09","80","91","76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-10","82",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-11","82",,"77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-12","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-13","83",,"78"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-14","82","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-15","81","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-16","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-17","85",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2021-01-18","86",,
